10;14;;The South Park Gazette, est. 1997, day. A bicycle rests on the sidewalk outside the office. Inside, Stan talks to the editor.
10;14;Editor;[The nameplate on his desk says Mr. Jarvis] Being a delivery boy for the South Park Gazette is a noble privilege.
10;14;Stan;I'm sorry, Mr. Jarvis, it's just that... I have to get up at 4 a.m. to deliver your paper and then I go to school all day.
10;14;Mr. Jarvis;Oh waaa waaa waaa! We've all got problems, pussy! Get used to it! [picks up today's paper] You aren't delivering the papers on time!
10;14;Stan;[insistent] My bike had a busted pedal, but I got it fixed, so there won't be a problem anymore. [behind him, outside the window, a tow truck pulls up]
10;14;Mr. Jarvis;[noticing] Is that your bike out there? [the driver leaves the cab and moves towards the back of the truck.]
10;14;Stan;Yeah. Why?
10;14;Mr. Jarvis;'Cause it's being towed.
10;14;Stan;[turns around] What?? [walks to the door and looks out its window, then leaves the office while the driver locks the bike in place]
10;14;;Outside the Gazette office.
10;14;Stan;Hey, hey! What are you doing?!
10;14;Driver;This your bike?
10;14;Stan;Yes!
10;14;Driver;It's on the impound list. You owe the county for tickets. [the list shows the tow truck belonging to Jerry's Towing. The driver activates the crane, which slowly lifts one end of the bike up]
10;14;Stan;No-dude, I need my bike to do my job!
10;14;Driver;Yeah? Well my job is to tow this bike. You want it back? You talk to the county. [gets back into the cab and closes the door]
10;14;Stan;[climbs up the door towards the driver] No NOO. Do NOT tow my bike! [the truck moves forward and Stan hops off. He moves towards the bike.] Stop, asshole! RRRRRRRRRRRRRRRR! [catches up to the bike and grabs one of the pedals, but that just jerks him up and down a few times as the wheel on the ground moves the pedals. Stan hits the ground several times, getting bruised until he finally lets go of the pedal and rests on the street. He looks on helplessly as the truck keeps moving and his bike disappears in the distance]
10;14;;Park County Government Center, day. A man sits in his office, and a knock is heard at his door.
10;14;Judge;Yes? Come in.
10;14;Stan;Hi, my name is Stan Marsh. I was told to come down here and try to-
10;14;Judge;Yes! Come on, Mr. Marsh. I've been told all about your case. Impounded bicycle, $83 owed to the county. Maybe you should get a job.
10;14;Stan;I got a job, but without my bike to do my paper route, I can't make the money! See?
10;14;Judge;"[pulls out a pre-loaded record player and puts the needle onto the record, which begins playing, then says] Stan Marsh is a bright young man. He's got a great family, a promising paper route; only problem is, [removes the needle from the record] his bike's been impounded! [puts the needle back on the record, on another song] But now, he's about to find out that getting his bike back isn't so easy. [pulls the needle off again and puts the needle's arm in its resting place]"
10;14;Stan;[several seconds later] Look, I really need my bike.
10;14;Judge;[puts the record player aside] Well, I'm afraid I can't give it to you, because then you wouldn't learn anything..
10;14;Stan;What do I have to learn?! This isn't fair!
10;14;Judge;Whoa whoa, hold on. I've looked your case over and I think maybe we can cut a little deal here. According to your background check, when you were in kindergarten, you played on the Park County Pee Wee Hockey Team.
10;14;Stan;...Yeah?
10;14;Judge;Well it just so happens that the pee wee hockey team this year needs a coach.
10;14;Stan;[apprehensive] Me?
10;14;Judge;[pulls out the record player again and plays it] Stan Marsh is a washed-up fourth grader. He's got no job, no bicycle. And his only way out is to coach... [pulls the needle off the record] a pee wee hockey team! [puts it on again] And now, he's about to find out that to coach, you've got to grow.
10;14;;South Park Recreation Center, looking more sophisticated than before. A hockey rink is in place, with kindergartners inside moving around. Stan is near the center's entrance moving towards the rink. Kids fall and get back up as they struggle to skate. Stan reaches the rink's entrance and looks inside
10;14;Stan;Oh boy. Uh, all right, guys, over here? Come over here. [the kids move towards him, tumbling. Stan decides to go in and meet them] We've got a lot of work to do and not much time to do it in.
10;14;# 10;Who are you?
10;14;Stan;My name is Stan and I'm your new coach. Now we just need to kind of organize a little bit and practice our-
10;14;# 8;Coach, I have to go potty.
10;14;Stan;All right, fine, go ahead.
10;14;# 8;...By myself?
10;14;Stan;S- hold it a while, okay?
10;14;# 7;"What does ""passing"" mean?"
10;14;Stan;When you shoot the puck to another player.
10;14;# 15;[chubby boy] My mommy said I'm as big as the sky.
10;14;# 3;Coach, Morgan spit on my foot!
10;14;Morgan;I did not!
10;14;Stan;All right, all right, shut up! We're gonna practice! You two guys play defense, and you play goalie.
10;14;Nelson;[downcast] I can't play goalie. [he's bald, save for a few hairs hanging down from inside his helmet]
10;14;Stan;Why not?!
